"","num_voters","dist_cluster","num_workers","X","precision","recall","fmeasure","num_annotations","dist"
"1",1,0.003,1,22.5,0.954545059817202,0.59711872826627,0.67826450702817,113.818181818182,0.01
"2",1,0.005,1,4556.5,0.954545059817202,0.59711872826627,0.67826450702817,113.818181818182,0.01
"3",1,0.007,1,9089.5,0.954545059817202,0.59711872826627,0.67826450702817,113.818181818182,0.01
"4",1,0.01,1,13619.5,0.954545059817202,0.59711872826627,0.67826450702817,113.818181818182,0.01
"9",1,0.007,2,9182.5,0.929090259306576,0.775032709920727,0.830885218824804,156.830985915493,0.01
"15",1,0.005,3,4942.5,0.919340389527466,0.830528233151184,0.869919808902885,165.593333333333,0.01
"25",1,0.007,4,9772.5,0.942987759381933,0.839890710382514,0.887664501306927,163.053333333333,0.01
"33",1,0.007,6,10072.5,0.934153395950264,0.850528233151184,0.889815455067506,166.68,0.01
"40",2,0.005,8,5992.5,0.960304776441775,0.832969034608379,0.891535777779414,158.76,0.01
"50",2,0.005,10,6292.5,0.954644045304402,0.848706739526412,0.898175821291997,162.733333333333,0.01
"62",2,0.003,12,2359.5,0.937255668101283,0.869945355191257,0.902066506051947,169.913333333333,0.01
"78",2,0.003,14,2959.5,0.93210261118808,0.873588342440801,0.901644355119736,171.56,0.01
"94",2,0.003,16,3559.5,0.928244143660554,0.882659380692167,0.904716159963528,174.06,0.01
"111",3,0.003,20,4309.5,0.948302635491788,0.870418943533698,0.907550675864325,167.986666666667,0.01
