"","num_voters","dist_cluster","num_workers","X","precision","recall","fmeasure","num_annotations","dist"
"1",1,0.003,1,33.5,0.771427238325034,0.291322314049587,0.36417268956158,153.454545454545,0.01
"2",1,0.005,1,5341.5,0.771427238325034,0.291322314049587,0.36417268956158,153.454545454545,0.01
"3",1,0.007,1,10647.5,0.771427238325034,0.291322314049587,0.36417268956158,153.454545454545,0.01
"4",1,0.01,1,15960.5,0.771427238325034,0.291322314049587,0.36417268956158,153.454545454545,0.01
"7",1,0.005,2,5447,0.754971289986042,0.486701864378815,0.542505403071846,280.793103448276,0.01
"22",1,0.01,3,16365.5,0.821746029740737,0.516507177033493,0.61303841451218,264.546666666667,0.01
"33",1,0.007,4,11502.5,0.743922351547613,0.630861244019139,0.66499140545484,360.853333333333,0.01
"51",1,0.007,6,12102.5,0.702494993159513,0.72207336523126,0.705574145256607,434.833333333333,0.01
"73",1,0.007,8,12852.5,0.677890127214246,0.746937799043062,0.706363669443699,465.333333333333,0.01
"93",2,0.005,10,8589.5,0.84110649339168,0.637511961722488,0.715771872300522,320.48,0.01
"122",2,0.005,12,9639.5,0.813433156632572,0.691786283891547,0.741527638990473,358.393333333333,0.01
