"","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"1",1,0.642105263157895,0.258474576271186,0.368580060422961,190,0.007,0.007,1,1
"2",2,0.740506329113924,0.247881355932203,0.371428571428571,158,0.007,0.007,1,1
"3",3,0.651724137931034,0.400423728813559,0.496062992125984,290,0.007,0.007,1,1
"4",4,0.865546218487395,0.218220338983051,0.348561759729272,119,0.007,0.007,1,1
"5",5,0.841346153846154,0.370762711864407,0.514705882352941,208,0.007,0.007,1,1
"6",6,0.881856540084388,0.442796610169492,0.589562764456982,237,0.007,0.007,1,1
"7",7,0.872340425531915,0.347457627118644,0.496969696969697,188,0.007,0.007,1,1
"8",8,0.709803921568627,0.383474576271186,0.497936726272352,255,0.007,0.007,1,1
"9",9,0.872881355932203,0.218220338983051,0.349152542372881,118,0.007,0.007,1,1
"10",10,0.916167664670659,0.324152542372881,0.47887323943662,167,0.007,0.007,1,1
"11",11,0.814102564102564,0.269067796610169,0.404458598726115,156,0.007,0.007,1,1
"12",12,0.703252032520325,0.366525423728814,0.481894150417827,246,0.007,0.007,1,1
"13",13,0.853932584269663,0.161016949152542,0.270944741532977,89,0.007,0.007,1,1
"14",14,0.909090909090909,0.38135593220339,0.537313432835821,198,0.007,0.007,1,1
"15",15,0.971751412429379,0.364406779661017,0.530046224961479,177,0.007,0.007,1,1
"16",16,0.91025641025641,0.150423728813559,0.258181818181818,78,0.007,0.007,1,1
"17",17,0.839344262295082,0.542372881355932,0.658944658944659,305,0.007,0.007,1,1
"18",18,0.797058823529412,0.574152542372881,0.667487684729064,340,0.007,0.007,1,1
"19",19,0.884422110552764,0.372881355932203,0.524590163934426,199,0.007,0.007,1,1
"20",20,0.862068965517241,0.582627118644068,0.695322376738306,319,0.007,0.007,1,1
"21",21,0.359223300970874,0.0783898305084746,0.128695652173913,103,0.007,0.007,1,1
"22",22,0.91044776119403,0.516949152542373,0.65945945945946,268,0.007,0.007,1,1
"23",23,0.58267716535433,0.313559322033898,0.407713498622590,254,0.007,0.007,1,1
"24",24,0.830645161290323,0.436440677966102,0.572222222222222,248,0.007,0.007,1,1
"25",25,0.728051391862955,0.720338983050847,0.724174653887114,467,0.007,0.007,1,1
"26",26,0.946808510638298,0.188559322033898,0.314487632508834,94,0.007,0.007,1,1
"27",27,0.0405405405405405,0.00635593220338983,0.0109890109890110,74,0.007,0.007,1,1
"28",28,0.891566265060241,0.156779661016949,0.266666666666667,83,0.007,0.007,1,1
"29",29,0.782142857142857,0.463983050847458,0.582446808510638,280,0.007,0.007,1,1
"30",30,0,0,NA,72,0.007,0.007,1,1
"31",31,0.903225806451613,0.118644067796610,0.209737827715356,62,0.007,0.007,1,1
"32",32,0.733766233766234,0.478813559322034,0.57948717948718,308,0.007,0.007,1,1
"33",33,0.68389662027833,0.728813559322034,0.705641025641026,503,0.007,0.007,1,1
"34",34,0.91907514450867,0.336864406779661,0.493023255813954,173,0.007,0.007,1,1
"35",35,0.808080808080808,0.508474576271186,0.624187256176853,297,0.007,0.007,1,1
"36",36,0.864457831325301,0.608050847457627,0.713930348258706,332,0.007,0.007,1,1
"37",37,0.73741794310722,0.713983050847458,0.72551130247578,457,0.007,0.007,1,1
"38",38,0.696902654867257,0.667372881355932,0.681818181818182,452,0.007,0.007,1,1
"39",39,0.584,0.309322033898305,0.404432132963989,250,0.007,0.007,1,1
"40",40,0.813793103448276,0.5,0.619422572178478,290,0.007,0.007,1,1
"41",41,0.743589743589744,0.73728813559322,0.740425531914894,468,0.007,0.007,1,1
"42",42,0.775,0.262711864406780,0.392405063291139,160,0.007,0.007,1,1
"43",1,0.654434250764526,0.453389830508475,0.53566958698373,327,0.007,0.007,2,1
"44",2,0.838607594936709,0.561440677966102,0.67258883248731,316,0.007,0.007,2,1
"45",3,0.692063492063492,0.461864406779661,0.554002541296061,315,0.007,0.007,2,1
"46",4,0.810055865921788,0.614406779661017,0.698795180722892,358,0.007,0.007,2,1
"47",5,0.787234042553192,0.548728813559322,0.64669163545568,329,0.007,0.007,2,1
"48",6,0.74585635359116,0.286016949152542,0.413476263399694,181,0.007,0.007,2,1
"49",7,0.670194003527337,0.805084745762712,0.731472569778633,567,0.007,0.007,2,1
"50",8,0.583333333333333,0.400423728813559,0.474874371859296,324,0.007,0.007,2,1
"51",9,0.705128205128205,0.582627118644068,0.638051044083527,390,0.007,0.007,2,1
"52",10,0.88262910798122,0.398305084745763,0.548905109489051,213,0.007,0.007,2,1
"53",11,0.654237288135593,0.408898305084746,0.503259452411995,295,0.007,0.007,2,1
"54",12,0.809815950920245,0.559322033898305,0.661654135338346,326,0.007,0.007,2,1
"55",13,0.701171875,0.760593220338983,0.729674796747967,512,0.007,0.007,2,1
"56",14,0.606356968215159,0.525423728813559,0.562996594778661,409,0.007,0.007,2,1
"57",15,0.720994475138122,0.552966101694915,0.62589928057554,362,0.007,0.007,2,1
"58",16,0.613945578231292,0.764830508474576,0.681132075471698,588,0.007,0.007,2,1
"59",17,0.794788273615635,0.516949152542373,0.626444159178434,307,0.007,0.007,2,1
"60",18,0.784869976359338,0.703389830508475,0.741899441340782,423,0.007,0.007,2,1
"61",19,0.657971014492754,0.48093220338983,0.555691554467564,345,0.007,0.007,2,1
"62",20,0.576368876080692,0.423728813559322,0.488400488400488,347,0.007,0.007,2,1
"63",21,0.769021739130435,0.599576271186441,0.673809523809524,368,0.007,0.007,2,1
"64",22,0.656108597285068,0.307203389830508,0.418470418470418,221,0.007,0.007,2,1
"65",23,0.720338983050847,0.540254237288136,0.617433414043584,354,0.007,0.007,2,1
"66",24,0.793357933579336,0.455508474576271,0.578734858681023,271,0.007,0.007,2,1
"67",25,0.677777777777778,0.516949152542373,0.586538461538461,360,0.007,0.007,2,1
"68",26,0.673357664233577,0.78177966101695,0.723529411764706,548,0.007,0.007,2,1
"69",27,0.706586826347305,0.5,0.58560794044665,334,0.007,0.007,2,1
"70",28,0.666666666666667,0.77542372881356,0.71694417238002,549,0.007,0.007,2,1
"71",29,0.79375,0.538135593220339,0.641414141414141,320,0.007,0.007,2,1
"72",30,0.662447257383966,0.332627118644068,0.442877291960508,237,0.007,0.007,2,1
"73",31,0.73125,0.74364406779661,0.737394957983193,480,0.007,0.007,2,1
"74",32,0.702213279678068,0.739406779661017,0.720330237358101,497,0.007,0.007,2,1
"75",33,0.705410821643287,0.745762711864407,0.725025746652935,499,0.007,0.007,2,1
"76",34,0.863636363636364,0.563559322033898,0.682051282051282,308,0.007,0.007,2,1
"77",35,0.666041275797373,0.752118644067797,0.706467661691542,533,0.007,0.007,2,1
"78",36,0.638461538461538,0.351694915254237,0.453551912568306,260,0.007,0.007,2,1
"79",37,0.811965811965812,0.402542372881356,0.538243626062323,234,0.007,0.007,2,1
"80",38,0.697841726618705,0.616525423728814,0.65466816647919,417,0.007,0.007,2,1
"81",39,0.654986522911051,0.514830508474576,0.576512455516014,371,0.007,0.007,2,1
"82",40,0.801204819277108,0.281779661016949,0.41692789968652,166,0.007,0.007,2,1
"83",41,0.870588235294118,0.627118644067797,0.729064039408867,340,0.007,0.007,2,1
"84",42,0.804878048780488,0.419491525423729,0.551532033426184,246,0.007,0.007,2,1
"85",43,0.774725274725275,0.597457627118644,0.674641148325359,364,0.007,0.007,2,1
"86",44,0.510917030567686,0.247881355932203,0.333808844507846,229,0.007,0.007,2,1
"87",45,0.771505376344086,0.608050847457627,0.680094786729858,372,0.007,0.007,2,1
"88",46,0.678486997635934,0.608050847457627,0.641340782122905,423,0.007,0.007,2,1
"89",47,0.797709923664122,0.442796610169492,0.569482288828338,262,0.007,0.007,2,1
"90",48,0.689655172413793,0.466101694915254,0.556257901390645,319,0.007,0.007,2,1
"91",49,0.664761904761905,0.739406779661017,0.700100300902708,525,0.007,0.007,2,1
"92",50,0.651757188498403,0.432203389830508,0.519745222929936,313,0.007,0.007,2,1
"93",51,0.671195652173913,0.523305084745763,0.588095238095238,368,0.007,0.007,2,1
"94",52,0.639257294429708,0.510593220338983,0.567726737338045,377,0.007,0.007,2,1
"95",53,0.878787878787879,0.307203389830508,0.455259026687598,165,0.007,0.007,2,1
"96",54,0.813852813852814,0.398305084745763,0.534850640113798,231,0.007,0.007,2,1
"97",55,0.68762278978389,0.741525423728814,0.713557594291539,509,0.007,0.007,2,1
"98",56,0.682847896440129,0.447033898305085,0.54033290653009,309,0.007,0.007,2,1
"99",57,0.751351351351351,0.294491525423729,0.423135464231355,185,0.007,0.007,2,1
"100",58,0.765463917525773,0.629237288135593,0.690697674418605,388,0.007,0.007,2,1
"101",59,0.652631578947368,0.656779661016949,0.654699049630412,475,0.007,0.007,2,1
"102",60,0.793233082706767,0.447033898305085,0.571815718157182,266,0.007,0.007,2,1
"103",61,0.631578947368421,0.406779661016949,0.494845360824742,304,0.007,0.007,2,1
"104",62,0.618823529411765,0.557203389830508,0.586399108138238,425,0.007,0.007,2,1
"105",63,0.714788732394366,0.430084745762712,0.537037037037037,284,0.007,0.007,2,1
"106",64,0.81060606060606,0.453389830508475,0.581521739130435,264,0.007,0.007,2,1
"107",65,0.66743648960739,0.61228813559322,0.638674033149171,433,0.007,0.007,2,1
"108",66,0.642857142857143,0.419491525423729,0.507692307692308,308,0.007,0.007,2,1
"109",67,0.689230769230769,0.474576271186441,0.562107904642409,325,0.007,0.007,2,1
"110",68,0.813852813852814,0.398305084745763,0.534850640113798,231,0.007,0.007,2,1
"111",69,0.461300309597523,0.315677966101695,0.374842767295598,323,0.007,0.007,2,1
"112",70,0.811881188118812,0.521186440677966,0.63483870967742,303,0.007,0.007,2,1
"113",71,0.679841897233202,0.364406779661017,0.474482758620690,253,0.007,0.007,2,1
"114",72,0.64172335600907,0.599576271186441,0.619934282584885,441,0.007,0.007,2,1
"115",73,0.671785028790787,0.741525423728814,0.704934541792548,521,0.007,0.007,2,1
"116",74,0.624434389140271,0.584745762711864,0.603938730853392,442,0.007,0.007,2,1
"117",75,0.633620689655172,0.622881355932203,0.628205128205128,464,0.007,0.007,2,1
"118",76,0.636363636363636,0.830508474576271,0.720588235294118,616,0.007,0.007,2,1
"119",77,0.627586206896552,0.771186440677966,0.692015209125475,580,0.007,0.007,2,1
"120",78,0.938775510204082,0.389830508474576,0.550898203592814,196,0.007,0.007,2,1
"121",79,0.71039603960396,0.608050847457627,0.655251141552511,404,0.007,0.007,2,1
"122",80,0.768392370572207,0.597457627118644,0.67222884386174,367,0.007,0.007,2,1
"123",81,0.707216494845361,0.726694915254237,0.716823406478579,485,0.007,0.007,2,1
"124",82,0.789473684210526,0.603813559322034,0.684273709483793,361,0.007,0.007,2,1
"125",83,0.638257575757576,0.713983050847458,0.674,528,0.007,0.007,2,1
"126",84,0.663286004056795,0.692796610169492,0.677720207253886,493,0.007,0.007,2,1
"127",85,0.718978102189781,0.417372881355932,0.528150134048258,274,0.007,0.007,2,1
"128",86,0.780678851174935,0.633474576271186,0.699415204678363,383,0.007,0.007,2,1
"129",87,0.725842696629214,0.684322033898305,0.704471101417666,445,0.007,0.007,2,1
"130",88,0.724279835390947,0.745762711864407,0.734864300626305,486,0.007,0.007,2,1
"131",89,0.842794759825327,0.408898305084746,0.550641940085592,229,0.007,0.007,2,1
"132",90,0.652561247216036,0.620762711864407,0.636264929424539,449,0.007,0.007,2,1
"133",91,0.674033149171271,0.516949152542373,0.585131894484412,362,0.007,0.007,2,1
"134",92,0.771084337349398,0.542372881355932,0.63681592039801,332,0.007,0.007,2,1
"135",93,0.841628959276018,0.394067796610169,0.536796536796537,221,0.007,0.007,2,1
"136",94,0.551724137931034,0.372881355932203,0.445006321112516,319,0.007,0.007,2,1
"137",95,0.66147859922179,0.720338983050847,0.689655172413793,514,0.007,0.007,2,1
"138",96,0.669387755102041,0.694915254237288,0.681912681912682,490,0.007,0.007,2,1
"139",97,0.783269961977186,0.436440677966102,0.560544217687075,263,0.007,0.007,2,1
"140",98,0.697749196141479,0.459745762711864,0.554278416347382,311,0.007,0.007,2,1
"141",99,0.73536299765808,0.665254237288136,0.698553948832036,427,0.007,0.007,2,1
"142",100,0.792569659442725,0.542372881355932,0.644025157232704,323,0.007,0.007,2,1
"143",1,0.870588235294118,0.156779661016949,0.265709156193896,85,0.007,0.007,2,2
"144",2,1,0.00211864406779661,0.00422832980972516,1,0.007,0.007,2,2
"145",3,0.818791946308725,0.258474576271186,0.392914653784219,149,0.007,0.007,2,2
"146",4,0,0,NA,1,0.007,0.007,2,2
"147",5,0.886363636363636,0.247881355932203,0.387417218543046,132,0.007,0.007,2,2
"148",6,0.982142857142857,0.116525423728814,0.208333333333333,56,0.007,0.007,2,2
"149",7,0.968253968253968,0.129237288135593,0.22803738317757,63,0.007,0.007,2,2
"150",8,0.958620689655172,0.294491525423729,0.450567260940032,145,0.007,0.007,2,2
"151",9,0,0,NA,1,0.007,0.007,2,2
