"","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"1",1,0.642105263157895,0.258474576271186,0.368580060422961,190,0.007,0.007,1,1
"2",2,0.740506329113924,0.247881355932203,0.371428571428571,158,0.007,0.007,1,1
"3",3,0.651724137931034,0.400423728813559,0.496062992125984,290,0.007,0.007,1,1
"4",4,0.865546218487395,0.218220338983051,0.348561759729272,119,0.007,0.007,1,1
"5",5,0.841346153846154,0.370762711864407,0.514705882352941,208,0.007,0.007,1,1
"6",6,0.881856540084388,0.442796610169492,0.589562764456982,237,0.007,0.007,1,1
"7",7,0.872340425531915,0.347457627118644,0.496969696969697,188,0.007,0.007,1,1
"8",8,0.709803921568627,0.383474576271186,0.497936726272352,255,0.007,0.007,1,1
"9",9,0.872881355932203,0.218220338983051,0.349152542372881,118,0.007,0.007,1,1
"10",10,0.916167664670659,0.324152542372881,0.47887323943662,167,0.007,0.007,1,1
"11",11,0.814102564102564,0.269067796610169,0.404458598726115,156,0.007,0.007,1,1
"12",12,0.703252032520325,0.366525423728814,0.481894150417827,246,0.007,0.007,1,1
"13",13,0.853932584269663,0.161016949152542,0.270944741532977,89,0.007,0.007,1,1
"14",14,0.909090909090909,0.38135593220339,0.537313432835821,198,0.007,0.007,1,1
"15",15,0.971751412429379,0.364406779661017,0.530046224961479,177,0.007,0.007,1,1
"16",16,0.91025641025641,0.150423728813559,0.258181818181818,78,0.007,0.007,1,1
"17",17,0.839344262295082,0.542372881355932,0.658944658944659,305,0.007,0.007,1,1
"18",18,0.797058823529412,0.574152542372881,0.667487684729064,340,0.007,0.007,1,1
"19",19,0.884422110552764,0.372881355932203,0.524590163934426,199,0.007,0.007,1,1
"20",20,0.862068965517241,0.582627118644068,0.695322376738306,319,0.007,0.007,1,1
"21",21,0.359223300970874,0.0783898305084746,0.128695652173913,103,0.007,0.007,1,1
"22",22,0.91044776119403,0.516949152542373,0.65945945945946,268,0.007,0.007,1,1
"23",23,0.58267716535433,0.313559322033898,0.407713498622590,254,0.007,0.007,1,1
"24",24,0.830645161290323,0.436440677966102,0.572222222222222,248,0.007,0.007,1,1
"25",25,0.728051391862955,0.720338983050847,0.724174653887114,467,0.007,0.007,1,1
"26",26,0.946808510638298,0.188559322033898,0.314487632508834,94,0.007,0.007,1,1
"27",27,0.0405405405405405,0.00635593220338983,0.0109890109890110,74,0.007,0.007,1,1
"28",28,0.891566265060241,0.156779661016949,0.266666666666667,83,0.007,0.007,1,1
"29",29,0.782142857142857,0.463983050847458,0.582446808510638,280,0.007,0.007,1,1
"30",30,0,0,NA,72,0.007,0.007,1,1
"31",31,0.903225806451613,0.118644067796610,0.209737827715356,62,0.007,0.007,1,1
"32",32,0.733766233766234,0.478813559322034,0.57948717948718,308,0.007,0.007,1,1
"33",33,0.68389662027833,0.728813559322034,0.705641025641026,503,0.007,0.007,1,1
"34",34,0.91907514450867,0.336864406779661,0.493023255813954,173,0.007,0.007,1,1
"35",35,0.808080808080808,0.508474576271186,0.624187256176853,297,0.007,0.007,1,1
"36",36,0.864457831325301,0.608050847457627,0.713930348258706,332,0.007,0.007,1,1
"37",37,0.73741794310722,0.713983050847458,0.72551130247578,457,0.007,0.007,1,1
"38",38,0.696902654867257,0.667372881355932,0.681818181818182,452,0.007,0.007,1,1
"39",39,0.584,0.309322033898305,0.404432132963989,250,0.007,0.007,1,1
"40",40,0.813793103448276,0.5,0.619422572178478,290,0.007,0.007,1,1
"41",41,0.743589743589744,0.73728813559322,0.740425531914894,468,0.007,0.007,1,1
"42",42,0.775,0.262711864406780,0.392405063291139,160,0.007,0.007,1,1
"43",1,0.763888888888889,0.349576271186441,0.479651162790698,216,0.007,0.007,2,1
"44",2,0.677799607072692,0.73093220338983,0.703363914373089,509,0.007,0.007,2,1
"45",3,0.753012048192771,0.529661016949153,0.621890547263682,332,0.007,0.007,2,1
"46",4,0.753387533875339,0.588983050847458,0.661117717003567,369,0.007,0.007,2,1
"47",5,0.859531772575251,0.544491525423729,0.666666666666667,299,0.007,0.007,2,1
"48",6,0.819672131147541,0.529661016949153,0.643500643500643,305,0.007,0.007,2,1
"49",7,0.754299754299754,0.65042372881356,0.698521046643914,407,0.007,0.007,2,1
"50",8,0.554421768707483,0.345338983050847,0.425587467362924,294,0.007,0.007,2,1
"51",9,0.648148148148148,0.741525423728814,0.691699604743083,540,0.007,0.007,2,1
"52",10,0.693032015065913,0.779661016949153,0.733798604187438,531,0.007,0.007,2,1
"53",11,0.787139689578714,0.752118644067797,0.769230769230769,451,0.007,0.007,2,1
"54",12,0.666666666666667,0.347457627118644,0.456824512534819,246,0.007,0.007,2,1
"55",13,0.417910447761194,0.118644067796610,0.184818481848185,134,0.007,0.007,2,1
"56",14,0.799410029498525,0.574152542372881,0.668310727496917,339,0.007,0.007,2,1
"57",15,0.678678678678679,0.478813559322034,0.561490683229814,333,0.007,0.007,2,1
"58",16,0.815068493150685,0.504237288135593,0.62303664921466,292,0.007,0.007,2,1
"59",17,0.649789029535865,0.326271186440678,0.43441466854725,237,0.007,0.007,2,1
"60",18,0.595092024539877,0.411016949152542,0.486215538847118,326,0.007,0.007,2,1
"61",19,0.858064516129032,0.563559322033898,0.680306905370844,310,0.007,0.007,2,1
"62",20,0.91542288557214,0.389830508474576,0.546805349182764,201,0.007,0.007,2,1
"63",21,0.752542372881356,0.470338983050847,0.578878748370274,295,0.007,0.007,2,1
"64",22,0.819787985865724,0.491525423728814,0.614569536423841,283,0.007,0.007,2,1
"65",23,0.682215743440233,0.495762711864407,0.574233128834356,343,0.007,0.007,2,1
"66",24,0.739336492890995,0.661016949152542,0.697986577181208,422,0.007,0.007,2,1
"67",25,0.808080808080808,0.338983050847458,0.477611940298508,198,0.007,0.007,2,1
"68",26,0.717532467532468,0.468220338983051,0.566666666666667,308,0.007,0.007,2,1
"69",27,0.696280991735537,0.713983050847458,0.705020920502092,484,0.007,0.007,2,1
"70",28,0.783783783783784,0.491525423728814,0.604166666666667,296,0.007,0.007,2,1
"71",29,0.717391304347826,0.559322033898305,0.628571428571429,368,0.007,0.007,2,1
"72",30,0.691228070175439,0.417372881355932,0.520475561426684,285,0.007,0.007,2,1
"73",31,0.778169014084507,0.468220338983051,0.584656084656085,284,0.007,0.007,2,1
"74",32,0.745562130177515,0.533898305084746,0.622222222222222,338,0.007,0.007,2,1
"75",33,0.874576271186441,0.546610169491525,0.672750977835724,295,0.007,0.007,2,1
"76",34,0.6640625,0.720338983050847,0.691056910569106,512,0.007,0.007,2,1
"77",35,0.775384615384615,0.533898305084746,0.63237139272271,325,0.007,0.007,2,1
"78",36,0.721030042918455,0.711864406779661,0.716417910447761,466,0.007,0.007,2,1
"79",37,0.527536231884058,0.385593220338983,0.445532435740514,345,0.007,0.007,2,1
"80",38,0.796791443850267,0.315677966101695,0.452200303490137,187,0.007,0.007,2,1
"81",39,0.855828220858896,0.591101694915254,0.699248120300752,326,0.007,0.007,2,1
"82",40,0.775510204081633,0.322033898305085,0.455089820359281,196,0.007,0.007,2,1
"83",41,0.774305555555556,0.472457627118644,0.586842105263158,288,0.007,0.007,2,1
"84",42,0.70440251572327,0.711864406779661,0.708113804004215,477,0.007,0.007,2,1
"85",43,0.844444444444444,0.402542372881356,0.54519368723099,225,0.007,0.007,2,1
"86",44,0.740740740740741,0.466101694915254,0.572171651495449,297,0.007,0.007,2,1
"87",45,0.693050193050193,0.760593220338983,0.725252525252525,518,0.007,0.007,2,1
"88",46,0.817460317460317,0.436440677966102,0.569060773480663,252,0.007,0.007,2,1
"89",47,0.797653958944281,0.576271186440678,0.669126691266913,341,0.007,0.007,2,1
"90",48,0.619926199261993,0.355932203389831,0.452220726783311,271,0.007,0.007,2,1
"91",49,0.879032258064516,0.461864406779661,0.605555555555556,248,0.007,0.007,2,1
"92",50,0.900355871886121,0.536016949152542,0.671978751660027,281,0.007,0.007,2,1
"93",51,0.748218527315915,0.667372881355932,0.70548712206047,421,0.007,0.007,2,1
"94",52,0.775067750677507,0.60593220338983,0.680142687277051,369,0.007,0.007,2,1
"95",53,0.809248554913295,0.593220338983051,0.684596577017115,346,0.007,0.007,2,1
"96",54,0.797945205479452,0.49364406779661,0.609947643979058,292,0.007,0.007,2,1
"97",55,0.827683615819209,0.620762711864407,0.709443099273608,354,0.007,0.007,2,1
"98",56,0.61731843575419,0.468220338983051,0.532530120481928,358,0.007,0.007,2,1
"99",57,0.660039761431412,0.703389830508475,0.681025641025641,503,0.007,0.007,2,1
"100",58,0.804878048780488,0.559322033898305,0.66,328,0.007,0.007,2,1
"101",59,0.843866171003718,0.48093220338983,0.612685560053981,269,0.007,0.007,2,1
"102",60,0.725663716814159,0.521186440677966,0.606658446362516,339,0.007,0.007,2,1
"103",61,0.671159029649596,0.527542372881356,0.590747330960854,371,0.007,0.007,2,1
"104",62,0.770975056689342,0.720338983050847,0.744797371303395,441,0.007,0.007,2,1
"105",63,0.719298245614035,0.694915254237288,0.706896551724138,456,0.007,0.007,2,1
"106",64,0.821656050955414,0.273305084745763,0.410174880763116,157,0.007,0.007,2,1
"107",65,0.816608996539792,0.5,0.62023653088042,289,0.007,0.007,2,1
"108",66,0.723684210526316,0.466101694915254,0.56701030927835,304,0.007,0.007,2,1
"109",67,0.735807860262009,0.713983050847458,0.724731182795699,458,0.007,0.007,2,1
"110",68,0.817891373801917,0.542372881355932,0.652229299363057,313,0.007,0.007,2,1
"111",69,0.768156424581006,0.582627118644068,0.662650602409639,358,0.007,0.007,2,1
"112",70,0.65983606557377,0.341101694915254,0.449720670391062,244,0.007,0.007,2,1
"113",71,0.754257907542579,0.656779661016949,0.702151755379388,411,0.007,0.007,2,1
"114",72,0.0283018867924528,0.00635593220338983,0.0103806228373702,106,0.007,0.007,2,1
"115",73,0.819767441860465,0.597457627118644,0.691176470588235,344,0.007,0.007,2,1
"116",74,0.892703862660944,0.440677966101695,0.590070921985816,233,0.007,0.007,2,1
"117",75,0.730392156862745,0.63135593220339,0.677272727272727,408,0.007,0.007,2,1
"118",76,0.637602179836512,0.495762711864407,0.557806912991657,367,0.007,0.007,2,1
"119",77,0.888888888888889,0.508474576271186,0.646900269541779,270,0.007,0.007,2,1
"120",78,0.656641604010025,0.555084745762712,0.601607347876005,399,0.007,0.007,2,1
"121",79,0.902222222222222,0.430084745762712,0.582496413199426,225,0.007,0.007,2,1
"122",80,0.737341772151899,0.49364406779661,0.591370558375635,316,0.007,0.007,2,1
"123",81,0.710801393728223,0.432203389830508,0.537549407114625,287,0.007,0.007,2,1
"124",82,0.666666666666667,0.440677966101695,0.530612244897959,312,0.007,0.007,2,1
"125",83,0.753351206434316,0.595338983050847,0.66508875739645,373,0.007,0.007,2,1
"126",84,0.542105263157895,0.218220338983051,0.311178247734139,190,0.007,0.007,2,1
"127",85,0.892086330935252,0.262711864406780,0.405891980360066,139,0.007,0.007,2,1
"128",86,0.778761061946903,0.559322033898305,0.651048088779285,339,0.007,0.007,2,1
"129",87,0.707762557077626,0.656779661016949,0.681318681318681,438,0.007,0.007,2,1
"130",88,0.790780141843972,0.472457627118644,0.591511936339522,282,0.007,0.007,2,1
"131",89,0.753658536585366,0.654661016949153,0.700680272108844,410,0.007,0.007,2,1
"132",90,0.680497925311203,0.347457627118644,0.460028050490884,241,0.007,0.007,2,1
"133",91,0.72937293729373,0.468220338983051,0.570322580645161,303,0.007,0.007,2,1
"134",92,0.575418994413408,0.218220338983051,0.316436251920123,179,0.007,0.007,2,1
"135",93,0.768421052631579,0.309322033898305,0.441087613293051,190,0.007,0.007,2,1
"136",94,0.698979591836735,0.580508474576271,0.634259259259259,392,0.007,0.007,2,1
"137",95,0.791666666666667,0.563559322033898,0.658415841584159,336,0.007,0.007,2,1
"138",96,0.78,0.495762711864407,0.606217616580311,300,0.007,0.007,2,1
"139",97,0.721212121212121,0.504237288135593,0.593516209476309,330,0.007,0.007,2,1
"140",98,0.810897435897436,0.536016949152542,0.645408163265306,312,0.007,0.007,2,1
"141",99,0.60857908847185,0.48093220338983,0.537278106508876,373,0.007,0.007,2,1
"142",100,0.786516853932584,0.444915254237288,0.568335588633288,267,0.007,0.007,2,1
"143",101,0.703703703703704,0.442796610169492,0.543563068920676,297,0.007,0.007,2,1
"144",102,0.7125,0.72457627118644,0.718487394957983,480,0.007,0.007,2,1
"145",103,0.695767195767196,0.557203389830508,0.618823529411765,378,0.007,0.007,2,1
"146",104,0.74279379157428,0.709745762711864,0.725893824485374,451,0.007,0.007,2,1
"147",105,0.685131195335277,0.497881355932203,0.576687116564417,343,0.007,0.007,2,1
"148",106,0.744186046511628,0.677966101694915,0.709534368070953,430,0.007,0.007,2,1
"149",107,0.752336448598131,0.682203389830508,0.715555555555555,428,0.007,0.007,2,1
"150",108,0.680440771349862,0.523305084745763,0.591616766467066,363,0.007,0.007,2,1
