"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"13684",13684,0.794736842105263,0.361244019138756,0.496710526315789,190,1,1,0.01,0.01
"13685",13685,1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.01
"13686",13686,0.91139240506329,0.344497607655502,0.5,158,1,1,0.01,0.01
"13687",13687,0.75,0.516746411483254,0.611898016997167,288,1,1,0.01,0.01
"13688",13688,0.923728813559322,0.260765550239234,0.406716417910448,118,1,1,0.01,0.01
"13689",13689,0.970588235294118,0.0789473684210526,0.146017699115044,34,1,1,0.01,0.01
"13690",13690,1,0.0239234449760766,0.0467289719626168,10,1,1,0.01,0.01
"13691",13691,0.853658536585366,0.41866028708134,0.561797752808989,205,1,1,0.01,0.01
"13692",13692,0.5,0.00478468899521531,0.009478672985782,4,1,1,0.01,0.01
"13693",13693,0.915611814345992,0.519138755980861,0.662595419847328,237,1,1,0.01,0.01
"13694",13694,0.930851063829787,0.41866028708134,0.577557755775578,188,1,1,0.01,0.01
"13695",13695,0.794466403162055,0.480861244019139,0.599105812220566,253,1,1,0.01,0.01
"13696",13696,0.915254237288136,0.258373205741627,0.402985074626866,118,1,1,0.01,0.01
"13697",13697,1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.01
"13698",13698,0.964071856287425,0.385167464114833,0.55042735042735,167,1,1,0.01,0.01
"13699",13699,0.91025641025641,0.339712918660287,0.494773519163763,156,1,1,0.01,0.01
"13700",13700,0.761316872427984,0.442583732057416,0.559757942511346,243,1,1,0.01,0.01
"13701",13701,0.943181818181818,0.198564593301435,0.328063241106719,88,1,1,0.01,0.01
"13702",13702,0.25,0.00239234449760766,0.004739336492891,4,1,1,0.01,0.01
"13703",13703,0.8125,0.0311004784688995,0.0599078341013825,16,1,1,0.01,0.01
"13704",13704,1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.01
"13705",13705,0.526315789473684,0.0239234449760766,0.045766590389016,19,1,1,0.01,0.01
"13706",13706,0.75,0.00717703349282297,0.014218009478673,4,1,1,0.01,0.01
"13707",13707,1,0.0454545454545455,0.0869565217391304,19,1,1,0.01,0.01
"13708",13708,0.934343434343434,0.442583732057416,0.600649350649351,198,1,1,0.01,0.01
"13709",13709,0.9375,0.0358851674641148,0.0691244239631336,16,1,1,0.01,0.01
"13710",13710,1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.01
"13711",13711,0.794117647058823,0.0645933014354067,0.119469026548673,34,1,1,0.01,0.01
"13712",13712,0.97175141242938,0.411483253588517,0.578151260504202,177,1,1,0.01,0.01
"13713",13713,1,0.0861244019138756,0.158590308370044,36,1,1,0.01,0.01
"13714",13714,0.94871794871795,0.177033492822967,0.298387096774194,78,1,1,0.01,0.01
"13715",13715,0.835526315789474,0.607655502392344,0.703601108033241,304,1,1,0.01,0.01
"13716",13716,0.88235294117647,0.0358851674641148,0.0689655172413793,17,1,1,0.01,0.01
"13717",13717,1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.01
"13718",13718,0.5,0.0311004784688995,0.0585585585585586,26,1,1,0.01,0.01
"13719",13719,0.5,0.00478468899521531,0.009478672985782,4,1,1,0.01,0.01
"13720",13720,1,0.0550239234449761,0.104308390022676,23,1,1,0.01,0.01
"13721",13721,0.808823529411765,0.657894736842105,0.725593667546174,340,1,1,0.01,0.01
"13722",13722,0.944723618090452,0.449760765550239,0.609400324149109,199,1,1,0.01,0.01
"13723",13723,0.25,0.00239234449760766,0.004739336492891,4,1,1,0.01,0.01
"13724",13724,0.865203761755486,0.660287081339713,0.74898236092266,319,1,1,0.01,0.01
"13725",13725,0.533980582524272,0.131578947368421,0.211132437619962,103,1,1,0.01,0.01
"13726",13726,0.89179104477612,0.57177033492823,0.696793002915452,268,1,1,0.01,0.01
"13727",13727,0.634538152610442,0.37799043062201,0.47376311844078,249,1,1,0.01,0.01
"13728",13728,0.894736842105263,0.528708133971292,0.664661654135338,247,1,1,0.01,0.01
"13729",13729,0.70752688172043,0.787081339712919,0.745186862967157,465,1,1,0.01,0.01
"13730",13730,0.957446808510638,0.215311004784689,0.3515625,94,1,1,0.01,0.01
"13731",13731,0.108108108108108,0.0191387559808612,0.032520325203252,74,1,1,0.01,0.01
"13732",13732,0.951807228915663,0.188995215311005,0.315369261477046,83,1,1,0.01,0.01
"13733",13733,0.830882352941177,0.54066985645933,0.655072463768116,272,1,1,0.01,0.01
"13734",13734,0.0694444444444444,0.0119617224880383,0.0204081632653061,72,1,1,0.01,0.01
"13735",13735,0.935483870967742,0.138755980861244,0.241666666666667,62,1,1,0.01,0.01
"13736",13736,0.760655737704918,0.555023923444976,0.6417704011065,305,1,1,0.01,0.01
"13737",13737,0.673346693386774,0.803827751196172,0.732824427480916,499,1,1,0.01,0.01
"13738",13738,0.942196531791908,0.389952153110048,0.55160744500846,173,1,1,0.01,0.01
"13739",13739,0.814814814814815,0.578947368421053,0.676923076923077,297,1,1,0.01,0.01
"13740",13740,0.854984894259819,0.677033492822967,0.755674232309746,331,1,1,0.01,0.01
"13741",13741,0.0416666666666667,0.00478468899521531,0.00858369098712446,48,1,1,0.01,0.01
"13742",13742,0.7417943107221,0.811004784688995,0.774857142857143,457,1,1,0.01,0.01
"13743",13743,0.677852348993289,0.72488038277512,0.700578034682081,447,1,1,0.01,0.01
"13744",13744,0.673387096774194,0.399521531100478,0.501501501501501,248,1,1,0.01,0.01
"13745",13745,0.5,0.00239234449760766,0.00476190476190476,2,1,1,0.01,0.01
"13746",13746,0.817241379310345,0.566985645933014,0.669491525423729,290,1,1,0.01,0.01
"13747",13747,0.730769230769231,0.818181818181818,0.772009029345373,468,1,1,0.01,0.01
"13748",13748,0.025,0.00239234449760766,0.00436681222707424,40,1,1,0.01,0.01
"13749",13749,0.79375,0.303827751196172,0.439446366782007,160,1,1,0.01,0.01
"13750",13750,0.701030927835051,0.325358851674641,0.444444444444444,194,1,2,0.01,0.01
"13751",13751,0.114583333333333,0.0263157894736842,0.0428015564202335,96,1,2,0.01,0.01
"13752",13752,0.775,0.0741626794258373,0.135371179039301,40,1,2,0.01,0.01
"13753",13753,0.786082474226804,0.729665071770335,0.75682382133995,388,1,2,0.01,0.01
"13754",13754,0.925,0.0885167464114833,0.161572052401747,40,1,2,0.01,0.01
"13755",13755,0.789203084832905,0.73444976076555,0.760842627013631,389,1,2,0.01,0.01
"13756",13756,0.887719298245614,0.605263157894737,0.71977240398293,285,1,2,0.01,0.01
"13757",13757,0.694779116465863,0.413875598086124,0.518740629685157,249,1,2,0.01,0.01
"13758",13758,0.780392156862745,0.476076555023923,0.591381872213967,255,1,2,0.01,0.01
"13759",13759,0.968085106382979,0.217703349282297,0.35546875,94,1,2,0.01,0.01
"13760",13760,0.902439024390244,0.354066985645933,0.508591065292096,164,1,2,0.01,0.01
"13761",13761,0.814189189189189,0.576555023923445,0.675070028011205,296,1,2,0.01,0.01
"13762",13762,0.716599190283401,0.423444976076555,0.532330827067669,247,1,2,0.01,0.01
"13763",13763,0.8486646884273,0.68421052631579,0.757615894039735,337,1,2,0.01,0.01
"13764",13764,0.964912280701754,0.394736842105263,0.560271646859083,171,1,2,0.01,0.01
"13765",13765,0.89558232931727,0.533492822966507,0.668665667166417,249,1,2,0.01,0.01
"13766",13766,0.95897435897436,0.447368421052632,0.610114192495922,195,1,2,0.01,0.01
"13767",13767,0.87857142857143,0.294258373205742,0.440860215053763,140,1,2,0.01,0.01
"13768",13768,0.858695652173913,0.566985645933014,0.68299711815562,276,1,2,0.01,0.01
"13769",13769,0.80890052356021,0.739234449760766,0.7725,382,1,2,0.01,0.01
"13770",13770,0.79840848806366,0.720095693779904,0.757232704402516,377,1,2,0.01,0.01
"13771",13771,0.812925170068027,0.57177033492823,0.671348314606742,294,1,2,0.01,0.01
"13772",13772,0.8,0.497607655502392,0.613569321533923,260,1,2,0.01,0.01
"13773",13773,0.814814814814815,0.736842105263158,0.773869346733668,378,1,2,0.01,0.01
"13774",13774,0.777251184834123,0.392344497607655,0.521462639109698,211,1,2,0.01,0.01
"13775",13775,0.874015748031496,0.5311004784689,0.660714285714286,254,1,2,0.01,0.01
"13776",13776,0.771689497716895,0.404306220095694,0.530612244897959,219,1,2,0.01,0.01
"13777",13777,0.824786324786325,0.461722488038278,0.592024539877301,234,1,2,0.01,0.01
