"","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"1",1,0.880952380952381,0.381443298969072,0.532374100719424,84,0.007,0.006,1,1
"2",2,0.838709677419355,0.268041237113402,0.40625,62,0.007,0.006,1,1
"3",3,0.736842105263158,0.432989690721650,0.545454545454545,114,0.007,0.006,1,1
"4",4,0.868421052631579,0.340206185567010,0.488888888888889,76,0.007,0.006,1,1
"5",5,0.917808219178082,0.345360824742268,0.50187265917603,73,0.007,0.006,1,1
"6",6,0.890243902439024,0.376288659793814,0.528985507246377,82,0.007,0.006,1,1
"7",7,0.79,0.407216494845361,0.537414965986395,100,0.007,0.006,1,1
"8",8,0.707142857142857,0.510309278350515,0.592814371257485,140,0.007,0.006,1,1
"9",9,0.8,0.515463917525773,0.626959247648903,125,0.007,0.006,1,1
"10",10,0.849056603773585,0.231958762886598,0.364372469635628,53,0.007,0.006,1,1
"11",11,0.715083798882682,0.65979381443299,0.686327077747989,179,0.007,0.006,1,1
"12",12,0.72316384180791,0.65979381443299,0.690026954177898,177,0.007,0.006,1,1
"13",13,0.755555555555556,0.525773195876289,0.620060790273556,135,0.007,0.006,1,1
"14",14,0.695652173913043,0.577319587628866,0.630985915492958,161,0.007,0.006,1,1
"15",15,0.766871165644172,0.644329896907217,0.700280112044818,163,0.007,0.006,1,1
"16",16,0.764705882352941,0.402061855670103,0.527027027027027,102,0.007,0.006,1,1
"17",17,0.752,0.484536082474227,0.589341692789969,125,0.007,0.006,1,1
"18",18,0.964912280701754,0.283505154639175,0.438247011952191,57,0.007,0.006,1,1
"19",19,0.80952380952381,0.438144329896907,0.568561872909699,105,0.007,0.006,1,1
"20",20,0.777777777777778,0.577319587628866,0.662721893491124,144,0.007,0.006,1,1
"21",21,0.875,0.469072164948454,0.610738255033557,104,0.007,0.006,1,1
"22",22,0.671641791044776,0.695876288659794,0.683544303797468,201,0.007,0.006,1,1
"23",23,0.866666666666667,0.268041237113402,0.409448818897638,60,0.007,0.006,1,1
"24",24,0.935064935064935,0.371134020618557,0.531365313653137,77,0.007,0.006,1,1
"25",25,0.741379310344828,0.443298969072165,0.554838709677419,116,0.007,0.006,1,1
"26",26,0.905263157894737,0.443298969072165,0.595155709342561,95,0.007,0.006,1,1
"27",27,0.7734375,0.510309278350515,0.614906832298137,128,0.007,0.006,1,1
"28",28,0.705555555555556,0.654639175257732,0.679144385026738,180,0.007,0.006,1,1
"29",29,0.916666666666667,0.396907216494845,0.553956834532374,84,0.007,0.006,1,1
"30",30,0.90721649484536,0.45360824742268,0.604810996563574,97,0.007,0.006,1,1
"31",31,0.837209302325581,0.371134020618557,0.514285714285714,86,0.007,0.006,1,1
"32",32,0.79245283018868,0.432989690721650,0.56,106,0.007,0.006,1,1
"33",33,0.727810650887574,0.634020618556701,0.677685950413223,169,0.007,0.006,1,1
"34",34,0.846153846153846,0.56701030927835,0.679012345679012,130,0.007,0.006,1,1
"35",35,0.921052631578947,0.360824742268041,0.518518518518518,76,0.007,0.006,1,1
"36",36,0.748466257668712,0.628865979381443,0.683473389355742,163,0.007,0.006,1,1
"37",37,0.748466257668712,0.628865979381443,0.683473389355742,163,0.007,0.006,1,1
"38",38,0.755813953488372,0.335051546391753,0.464285714285714,86,0.007,0.006,1,1
"39",39,0.830645161290323,0.530927835051546,0.647798742138365,124,0.007,0.006,1,1
"40",40,0.706896551724138,0.634020618556701,0.668478260869565,174,0.007,0.006,1,1
"41",41,0.801724137931034,0.479381443298969,0.6,116,0.007,0.006,1,1
"42",42,0.697674418604651,0.463917525773196,0.557275541795666,129,0.007,0.006,1,1
"43",43,0.674157303370786,0.618556701030928,0.645161290322581,178,0.007,0.006,1,1
"44",44,0.708333333333333,0.61340206185567,0.657458563535912,168,0.007,0.006,1,1
"45",45,0.641176470588235,0.561855670103093,0.598901098901099,170,0.007,0.006,1,1
"46",46,0.830357142857143,0.479381443298969,0.607843137254902,112,0.007,0.006,1,1
"47",47,0.732758620689655,0.438144329896907,0.548387096774194,116,0.007,0.006,1,1
"48",48,0.8125,0.603092783505155,0.692307692307692,144,0.007,0.006,1,1
"49",1,0.745222929936306,0.603092783505155,0.666666666666667,157,0.007,0.006,2,1
"50",2,0.763888888888889,0.56701030927835,0.650887573964497,144,0.007,0.006,2,1
"51",3,0.748502994011976,0.644329896907217,0.692520775623269,167,0.007,0.006,2,1
"52",4,0.918604651162791,0.407216494845361,0.564285714285714,86,0.007,0.006,2,1
"53",5,0.717514124293785,0.654639175257732,0.684636118598383,177,0.007,0.006,2,1
"54",6,0.76,0.587628865979381,0.662790697674419,150,0.007,0.006,2,1
"55",7,0.8,0.618556701030928,0.697674418604651,150,0.007,0.006,2,1
"56",8,0.79746835443038,0.649484536082474,0.715909090909091,158,0.007,0.006,2,1
"57",9,0.725609756097561,0.61340206185567,0.664804469273743,164,0.007,0.006,2,1
"58",10,0.735483870967742,0.587628865979381,0.653295128939828,155,0.007,0.006,2,1
"59",11,0.702380952380952,0.608247422680412,0.651933701657459,168,0.007,0.006,2,1
"60",12,0.705555555555556,0.654639175257732,0.679144385026738,180,0.007,0.006,2,1
"61",13,0.760736196319018,0.639175257731959,0.69467787114846,163,0.007,0.006,2,1
"62",14,0.934065934065934,0.438144329896907,0.596491228070175,91,0.007,0.006,2,1
"63",15,0.784615384615385,0.525773195876289,0.62962962962963,130,0.007,0.006,2,1
"64",16,0.782608695652174,0.649484536082474,0.709859154929578,161,0.007,0.006,2,1
"65",17,0.726256983240223,0.670103092783505,0.697050938337802,179,0.007,0.006,2,1
"66",18,0.740112994350282,0.675257731958763,0.706199460916442,177,0.007,0.006,2,1
"67",19,0.748344370860927,0.582474226804124,0.655072463768116,151,0.007,0.006,2,1
"68",20,0.754601226993865,0.634020618556701,0.6890756302521,163,0.007,0.006,2,1
"69",21,0.751552795031056,0.623711340206186,0.68169014084507,161,0.007,0.006,2,1
"70",22,0.73202614379085,0.577319587628866,0.645533141210375,153,0.007,0.006,2,1
"71",23,0.796052631578947,0.623711340206186,0.699421965317919,152,0.007,0.006,2,1
"72",24,0.75974025974026,0.603092783505155,0.672413793103448,154,0.007,0.006,2,1
"73",25,0.751412429378531,0.685567010309278,0.716981132075472,177,0.007,0.006,2,1
"74",26,0.884615384615385,0.474226804123711,0.61744966442953,104,0.007,0.006,2,1
"75",27,0.757396449704142,0.65979381443299,0.705234159779614,169,0.007,0.006,2,1
"76",28,0.748466257668712,0.628865979381443,0.683473389355742,163,0.007,0.006,2,1
"77",29,0.860869565217391,0.510309278350515,0.640776699029126,115,0.007,0.006,2,1
"78",30,0.770186335403727,0.639175257731959,0.698591549295775,161,0.007,0.006,2,1
"79",31,0.722222222222222,0.670103092783505,0.695187165775401,180,0.007,0.006,2,1
"80",32,0.903225806451613,0.432989690721650,0.585365853658537,93,0.007,0.006,2,1
"81",33,0.699453551912568,0.65979381443299,0.679045092838196,183,0.007,0.006,2,1
"82",34,0.766666666666667,0.474226804123711,0.585987261146497,120,0.007,0.006,2,1
"83",35,0.782312925170068,0.592783505154639,0.674486803519062,147,0.007,0.006,2,1
"84",36,0.745098039215686,0.587628865979381,0.657060518731988,153,0.007,0.006,2,1
"85",37,0.656410256410256,0.65979381443299,0.658097686375321,195,0.007,0.006,2,1
"86",38,0.748344370860927,0.582474226804124,0.655072463768116,151,0.007,0.006,2,1
"87",39,0.708791208791209,0.664948453608247,0.686170212765957,182,0.007,0.006,2,1
"88",40,0.736486486486487,0.561855670103093,0.637426900584795,148,0.007,0.006,2,1
"89",41,0.779310344827586,0.582474226804124,0.666666666666667,145,0.007,0.006,2,1
"90",42,0.784313725490196,0.618556701030928,0.69164265129683,153,0.007,0.006,2,1
"91",43,0.709090909090909,0.603092783505155,0.651810584958217,165,0.007,0.006,2,1
"92",44,0.795031055900621,0.65979381443299,0.72112676056338,161,0.007,0.006,2,1
"93",45,0.895833333333333,0.443298969072165,0.593103448275862,96,0.007,0.006,2,1
"94",46,0.80281690140845,0.587628865979381,0.678571428571429,142,0.007,0.006,2,1
"95",47,0.73469387755102,0.556701030927835,0.633431085043988,147,0.007,0.006,2,1
"96",48,0.844444444444444,0.587628865979381,0.693009118541033,135,0.007,0.006,2,1
"97",49,0.828571428571429,0.448453608247423,0.581939799331104,105,0.007,0.006,2,1
"98",50,0.762589928057554,0.54639175257732,0.636636636636637,139,0.007,0.006,2,1
"99",51,0.82,0.634020618556701,0.715116279069767,150,0.007,0.006,2,1
"100",52,0.766423357664234,0.541237113402062,0.634441087613293,137,0.007,0.006,2,1
"101",53,0.763779527559055,0.5,0.604361370716511,127,0.007,0.006,2,1
"102",54,0.791666666666667,0.587628865979381,0.674556213017751,144,0.007,0.006,2,1
"103",55,0.817391304347826,0.484536082474227,0.608414239482201,115,0.007,0.006,2,1
"104",56,0.730061349693252,0.61340206185567,0.666666666666667,163,0.007,0.006,2,1
"105",57,0.735632183908046,0.65979381443299,0.695652173913044,174,0.007,0.006,2,1
"106",58,0.69375,0.572164948453608,0.627118644067797,160,0.007,0.006,2,1
"107",59,0.721590909090909,0.654639175257732,0.686486486486486,176,0.007,0.006,2,1
"108",60,0.78030303030303,0.530927835051546,0.631901840490798,132,0.007,0.006,2,1
"109",61,0.77037037037037,0.536082474226804,0.632218844984802,135,0.007,0.006,2,1
"110",62,0.777777777777778,0.577319587628866,0.662721893491124,144,0.007,0.006,2,1
"111",63,0.7984496124031,0.530927835051546,0.637770897832817,129,0.007,0.006,2,1
"112",64,0.779220779220779,0.618556701030928,0.689655172413793,154,0.007,0.006,2,1
"113",65,0.76875,0.634020618556701,0.694915254237288,160,0.007,0.006,2,1
"114",66,0.695906432748538,0.61340206185567,0.652054794520548,171,0.007,0.006,2,1
"115",67,0.733333333333333,0.510309278350515,0.601823708206687,135,0.007,0.006,2,1
"116",68,0.924528301886792,0.505154639175258,0.653333333333333,106,0.007,0.006,2,1
"117",69,0.796992481203007,0.54639175257732,0.648318042813456,133,0.007,0.006,2,1
"118",70,0.772357723577236,0.489690721649485,0.599369085173502,123,0.007,0.006,2,1
"119",71,0.888888888888889,0.494845360824742,0.635761589403974,108,0.007,0.006,2,1
"120",72,0.781512605042017,0.479381443298969,0.594249201277955,119,0.007,0.006,2,1
"121",73,0.728915662650602,0.623711340206186,0.672222222222222,166,0.007,0.006,2,1
"122",74,0.852112676056338,0.623711340206186,0.720238095238095,142,0.007,0.006,2,1
"123",75,0.804195804195804,0.592783505154639,0.682492581602374,143,0.007,0.006,2,1
"124",76,0.774193548387097,0.618556701030928,0.687679083094556,155,0.007,0.006,2,1
"125",77,0.730538922155689,0.628865979381443,0.67590027700831,167,0.007,0.006,2,1
"126",78,0.791044776119403,0.54639175257732,0.646341463414634,134,0.007,0.006,2,1
"127",79,0.751824817518248,0.530927835051546,0.622356495468278,137,0.007,0.006,2,1
"128",80,0.775,0.639175257731959,0.700564971751412,160,0.007,0.006,2,1
"129",81,0.759259259259259,0.634020618556701,0.691011235955056,162,0.007,0.006,2,1
"130",82,0.80952380952381,0.525773195876289,0.6375,126,0.007,0.006,2,1
"131",83,0.753086419753086,0.628865979381443,0.685393258426966,162,0.007,0.006,2,1
"132",84,0.79381443298969,0.396907216494845,0.529209621993127,97,0.007,0.006,2,1
"133",85,0.773006134969325,0.649484536082474,0.705882352941177,163,0.007,0.006,2,1
"134",86,0.8203125,0.541237113402062,0.652173913043478,128,0.007,0.006,2,1
"135",87,0.806451612903226,0.515463917525773,0.628930817610063,124,0.007,0.006,2,1
"136",88,0.871794871794872,0.525773195876289,0.655948553054662,117,0.007,0.006,2,1
"137",89,0.785714285714286,0.56701030927835,0.658682634730539,140,0.007,0.006,2,1
"138",90,0.84070796460177,0.489690721649485,0.618892508143322,113,0.007,0.006,2,1
"139",91,0.743421052631579,0.582474226804124,0.653179190751445,152,0.007,0.006,2,1
"140",92,0.853211009174312,0.479381443298969,0.613861386138614,109,0.007,0.006,2,1
"141",93,0.763975155279503,0.634020618556701,0.692957746478873,161,0.007,0.006,2,1
"142",94,0.681081081081081,0.649484536082474,0.66490765171504,185,0.007,0.006,2,1
"143",95,0.732876712328767,0.551546391752577,0.629411764705882,146,0.007,0.006,2,1
"144",96,0.728476821192053,0.56701030927835,0.63768115942029,151,0.007,0.006,2,1
"145",97,0.8,0.618556701030928,0.697674418604651,150,0.007,0.006,2,1
"146",98,0.73728813559322,0.448453608247423,0.557692307692308,118,0.007,0.006,2,1
"147",99,0.80952380952381,0.438144329896907,0.568561872909699,105,0.007,0.006,2,1
"148",100,0.721854304635762,0.561855670103093,0.631884057971014,151,0.007,0.006,2,1
"149",101,0.774193548387097,0.618556701030928,0.687679083094556,155,0.007,0.006,2,1
"150",102,0.791666666666667,0.587628865979381,0.674556213017751,144,0.007,0.006,2,1
"151",103,0.720670391061452,0.664948453608247,0.691689008042895,179,0.007,0.006,2,1
"152",104,0.803030303030303,0.54639175257732,0.650306748466258,132,0.007,0.006,2,1
"153",105,0.782894736842105,0.61340206185567,0.6878612716763,152,0.007,0.006,2,1
"154",106,0.812080536912752,0.623711340206186,0.705539358600583,149,0.007,0.006,2,1
"155",107,0.938144329896907,0.469072164948454,0.625429553264605,97,0.007,0.006,2,1
"156",108,0.716216216216216,0.54639175257732,0.619883040935672,148,0.007,0.006,2,1
"157",109,0.829457364341085,0.551546391752577,0.662538699690403,129,0.007,0.006,2,1
"158",110,0.704918032786885,0.664948453608247,0.684350132625995,183,0.007,0.006,2,1
"159",111,0.74025974025974,0.587628865979381,0.655172413793103,154,0.007,0.006,2,1
"160",112,0.838095238095238,0.45360824742268,0.588628762541806,105,0.007,0.006,2,1
"161",113,0.708571428571429,0.639175257731959,0.672086720867209,175,0.007,0.006,2,1
"162",114,0.773049645390071,0.561855670103093,0.650746268656716,141,0.007,0.006,2,1
"163",115,0.852459016393443,0.536082474226804,0.658227848101266,122,0.007,0.006,2,1
"164",116,0.774834437086093,0.603092783505155,0.678260869565217,151,0.007,0.006,2,1
"165",117,0.703030303030303,0.597938144329897,0.646239554317549,165,0.007,0.006,2,1
"166",118,0.770491803278688,0.484536082474227,0.59493670886076,122,0.007,0.006,2,1
"167",119,0.771428571428571,0.556701030927835,0.646706586826347,140,0.007,0.006,2,1
"168",120,0.704918032786885,0.664948453608247,0.684350132625995,183,0.007,0.006,2,1
"169",121,0.724550898203593,0.623711340206186,0.670360110803324,167,0.007,0.006,2,1
"170",122,0.780487804878049,0.494845360824742,0.605678233438486,123,0.007,0.006,2,1
"171",123,0.783333333333333,0.484536082474227,0.598726114649682,120,0.007,0.006,2,1
"172",124,0.804347826086957,0.572164948453608,0.66867469879518,138,0.007,0.006,2,1
"173",125,0.83177570093458,0.458762886597938,0.591362126245847,107,0.007,0.006,2,1
"174",126,0.7625,0.628865979381443,0.689265536723164,160,0.007,0.006,2,1
"175",127,0.738255033557047,0.56701030927835,0.641399416909621,149,0.007,0.006,2,1
"176",128,0.720588235294118,0.505154639175258,0.593939393939394,136,0.007,0.006,2,1
"177",129,0.748299319727891,0.56701030927835,0.64516129032258,147,0.007,0.006,2,1
"178",130,0.863636363636364,0.489690721649485,0.625,110,0.007,0.006,2,1
"179",131,0.889830508474576,0.541237113402062,0.673076923076923,118,0.007,0.006,2,1
"180",132,0.798507462686567,0.551546391752577,0.652439024390244,134,0.007,0.006,2,1
"181",133,0.724550898203593,0.623711340206186,0.670360110803324,167,0.007,0.006,2,1
"182",134,0.785714285714286,0.56701030927835,0.658682634730539,140,0.007,0.006,2,1
"183",135,0.729559748427673,0.597938144329897,0.657223796033994,159,0.007,0.006,2,1
"184",136,0.840336134453782,0.515463917525773,0.638977635782747,119,0.007,0.006,2,1
"185",137,0.79054054054054,0.603092783505155,0.68421052631579,148,0.007,0.006,2,1
"186",138,0.778481012658228,0.634020618556701,0.698863636363636,158,0.007,0.006,2,1
"187",139,0.754601226993865,0.634020618556701,0.6890756302521,163,0.007,0.006,2,1
"188",140,0.765432098765432,0.639175257731959,0.696629213483146,162,0.007,0.006,2,1
"189",141,0.757225433526012,0.675257731958763,0.713896457765668,173,0.007,0.006,2,1
"190",142,0.762589928057554,0.54639175257732,0.636636636636637,139,0.007,0.006,2,1
"191",143,0.732919254658385,0.608247422680412,0.664788732394366,161,0.007,0.006,2,1
"192",144,0.78,0.603092783505155,0.680232558139535,150,0.007,0.006,2,1
"193",145,0.786666666666667,0.608247422680412,0.686046511627907,150,0.007,0.006,2,1
"194",146,0.745098039215686,0.587628865979381,0.657060518731988,153,0.007,0.006,2,1
"195",147,0.832,0.536082474226804,0.652037617554859,125,0.007,0.006,2,1
"196",148,0.753086419753086,0.628865979381443,0.685393258426966,162,0.007,0.006,2,1
"197",149,0.813432835820896,0.561855670103093,0.664634146341463,134,0.007,0.006,2,1
"198",150,0.69375,0.572164948453608,0.627118644067797,160,0.007,0.006,2,1
