"","X","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"13297",13297,1,0.892857142857143,0.38659793814433,0.539568345323741,84,0.007,0.007,1,1
"13298",13298,2,0.870967741935484,0.278350515463918,0.421875,62,0.007,0.007,1,1
"13299",13299,3,0.763157894736842,0.448453608247423,0.564935064935065,114,0.007,0.007,1,1
"13300",13300,4,0.881578947368421,0.345360824742268,0.496296296296296,76,0.007,0.007,1,1
"13301",13301,5,0.917808219178082,0.345360824742268,0.50187265917603,73,0.007,0.007,1,1
"13302",13302,6,0.890243902439024,0.376288659793814,0.528985507246377,82,0.007,0.007,1,1
"13303",13303,7,0.83,0.427835051546392,0.564625850340136,100,0.007,0.007,1,1
"13304",13304,8,0.75,0.541237113402062,0.62874251497006,140,0.007,0.007,1,1
"13305",13305,9,0.84,0.541237113402062,0.658307210031348,125,0.007,0.007,1,1
"13306",13306,10,0.867924528301887,0.237113402061856,0.37246963562753,53,0.007,0.007,1,1
"13307",13307,11,0.782122905027933,0.721649484536082,0.750670241286863,179,0.007,0.007,1,1
"13308",13308,12,0.768361581920904,0.701030927835051,0.733153638814016,177,0.007,0.007,1,1
"13309",13309,13,0.792592592592593,0.551546391752577,0.650455927051672,135,0.007,0.007,1,1
"13310",13310,14,0.739130434782609,0.61340206185567,0.670422535211268,161,0.007,0.007,1,1
"13311",13311,15,0.803680981595092,0.675257731958763,0.733893557422969,163,0.007,0.007,1,1
"13312",13312,16,0.794117647058823,0.417525773195876,0.547297297297297,102,0.007,0.007,1,1
"13313",13313,17,0.8,0.515463917525773,0.626959247648903,125,0.007,0.007,1,1
"13314",13314,18,0.964912280701754,0.283505154639175,0.438247011952191,57,0.007,0.007,1,1
"13315",13315,19,0.838095238095238,0.45360824742268,0.588628762541806,105,0.007,0.007,1,1
"13316",13316,20,0.798611111111111,0.592783505154639,0.680473372781065,144,0.007,0.007,1,1
"13317",13317,21,0.89423076923077,0.479381443298969,0.624161073825503,104,0.007,0.007,1,1
