"","X","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"13269",13269,1,0.972222222222222,0.752688172043011,0.848484848484849,144,0.007,0.007,1,1
"13270",13270,2,0.980645161290323,0.817204301075269,0.89149560117302,155,0.007,0.007,1,1
"13271",13271,3,0.974789915966387,0.623655913978495,0.760655737704918,119,0.007,0.007,1,1
"13272",13272,4,0.97391304347826,0.602150537634409,0.744186046511628,115,0.007,0.007,1,1
"13273",13273,5,0.986013986013986,0.758064516129032,0.857142857142857,143,0.007,0.007,1,1
"13274",13274,6,0.982456140350877,0.903225806451613,0.941176470588235,171,0.007,0.007,1,1
"13275",13275,7,0.99264705882353,0.725806451612903,0.838509316770186,136,0.007,0.007,1,1
"13276",13276,8,0.976744186046512,0.67741935483871,0.8,129,0.007,0.007,1,1
"13277",13277,9,0.935897435897436,0.78494623655914,0.853801169590643,156,0.007,0.007,1,1
"13278",13278,10,0.974193548387097,0.811827956989247,0.885630498533724,155,0.007,0.007,1,1
"13279",13279,11,0.962406015037594,0.688172043010753,0.802507836990596,133,0.007,0.007,1,1
"13280",13280,12,0.98780487804878,0.870967741935484,0.925714285714286,164,0.007,0.007,1,1
"13281",13281,13,1,0.752688172043011,0.858895705521472,140,0.007,0.007,1,1
"13282",13282,14,0.993589743589744,0.833333333333333,0.906432748538012,156,0.007,0.007,1,1
"13283",13283,15,0.946308724832215,0.758064516129032,0.84179104477612,149,0.007,0.007,1,1
"13284",13284,16,0.942446043165468,0.704301075268817,0.806153846153846,139,0.007,0.007,1,1
"13285",13285,17,0.974683544303797,0.827956989247312,0.895348837209302,158,0.007,0.007,1,1
"13286",13286,18,0.980263157894737,0.801075268817204,0.881656804733728,152,0.007,0.007,1,1
"13287",13287,19,0.99122807017544,0.60752688172043,0.753333333333333,114,0.007,0.007,1,1
"13288",13288,20,0.958579881656805,0.870967741935484,0.912676056338028,169,0.007,0.007,1,1
"13289",13289,21,0.985915492957746,0.752688172043011,0.853658536585366,142,0.007,0.007,1,1
"13290",13290,22,0.986206896551724,0.768817204301075,0.86404833836858,145,0.007,0.007,1,1
"13291",13291,23,0.911290322580645,0.60752688172043,0.729032258064516,124,0.007,0.007,1,1
"13292",13292,24,0.978723404255319,0.741935483870968,0.844036697247706,141,0.007,0.007,1,1
"13293",13293,25,0.992857142857143,0.747311827956989,0.852760736196319,140,0.007,0.007,1,1
"13294",13294,26,0.98136645962733,0.849462365591398,0.910662824207493,161,0.007,0.007,1,1
"13295",13295,27,0.992481203007519,0.709677419354839,0.827586206896552,133,0.007,0.007,1,1
"13296",13296,28,0.717171717171717,0.763440860215054,0.739583333333333,198,0.007,0.007,1,1
"13297",13297,29,1,0.860215053763441,0.92485549132948,160,0.007,0.007,1,1
"13298",13298,30,0.99290780141844,0.752688172043011,0.856269113149847,141,0.007,0.007,1,1
"13299",13299,31,0.513513513513513,0.204301075268817,0.292307692307692,74,0.007,0.007,1,1
"13300",13300,32,0.98170731707317,0.865591397849462,0.92,164,0.007,0.007,1,1
"13301",13301,33,0.954802259887006,0.908602150537634,0.931129476584022,177,0.007,0.007,1,1
"13302",13302,34,0.972972972972973,0.774193548387097,0.862275449101796,148,0.007,0.007,1,1
"13303",13303,1,0.678899082568807,0.795698924731183,0.732673267326733,218,0.007,0.007,2,1
"13304",13304,2,0.855421686746988,0.763440860215054,0.806818181818182,166,0.007,0.007,2,1
"13305",13305,3,0.953488372093023,0.881720430107527,0.916201117318436,172,0.007,0.007,2,1
"13306",13306,4,0.964285714285714,0.870967741935484,0.915254237288136,168,0.007,0.007,2,1
"13307",13307,5,0.915730337078652,0.876344086021505,0.895604395604396,178,0.007,0.007,2,1
"13308",13308,6,0.950276243093923,0.924731182795699,0.93732970027248,181,0.007,0.007,2,1
"13309",13309,7,0.96590909090909,0.913978494623656,0.939226519337017,176,0.007,0.007,2,1
"13310",13310,8,0.95505617977528,0.913978494623656,0.934065934065934,178,0.007,0.007,2,1
"13311",13311,9,0.94475138121547,0.919354838709677,0.931880108991826,181,0.007,0.007,2,1
"13312",13312,10,0.91812865497076,0.844086021505376,0.879551820728291,171,0.007,0.007,2,1
"13313",13313,11,0.866666666666667,0.768817204301075,0.814814814814815,165,0.007,0.007,2,1
"13314",13314,12,0.961783439490446,0.811827956989247,0.880466472303207,157,0.007,0.007,2,1
"13315",13315,13,0.71830985915493,0.82258064516129,0.766917293233083,213,0.007,0.007,2,1
"13316",13316,14,0.965116279069767,0.89247311827957,0.927374301675978,172,0.007,0.007,2,1
"13317",13317,15,0.94475138121547,0.919354838709677,0.931880108991826,181,0.007,0.007,2,1
"13318",13318,16,0.95483870967742,0.795698924731183,0.868035190615836,155,0.007,0.007,2,1
"13319",13319,17,0.814070351758794,0.870967741935484,0.841558441558442,199,0.007,0.007,2,1
"13320",13320,18,0.936305732484076,0.790322580645161,0.857142857142857,157,0.007,0.007,2,1
"13321",13321,19,0.975903614457831,0.870967741935484,0.920454545454546,166,0.007,0.007,2,1
"13322",13322,20,0.982035928143713,0.881720430107527,0.929178470254957,167,0.007,0.007,2,1
"13323",13323,21,0.979310344827586,0.763440860215054,0.858006042296072,145,0.007,0.007,2,1
"13324",13324,22,0.934782608695652,0.924731182795699,0.92972972972973,184,0.007,0.007,2,1
"13325",13325,23,0.975903614457831,0.870967741935484,0.920454545454546,166,0.007,0.007,2,1
"13326",13326,24,0.94375,0.811827956989247,0.872832369942197,160,0.007,0.007,2,1
"13327",13327,25,0.904458598726115,0.763440860215054,0.82798833819242,157,0.007,0.007,2,1
"13328",13328,26,0.903225806451613,0.903225806451613,0.903225806451613,186,0.007,0.007,2,1
"13329",13329,27,0.907894736842105,0.741935483870968,0.816568047337278,152,0.007,0.007,2,1
"13330",13330,28,0.970059880239521,0.870967741935484,0.91784702549575,167,0.007,0.007,2,1
"13331",13331,29,0.968354430379747,0.82258064516129,0.88953488372093,158,0.007,0.007,2,1
"13332",13332,30,0.939226519337017,0.913978494623656,0.926430517711172,181,0.007,0.007,2,1
"13333",13333,31,0.964285714285714,0.870967741935484,0.915254237288136,168,0.007,0.007,2,1
"13334",13334,32,0.875816993464052,0.720430107526882,0.790560471976401,153,0.007,0.007,2,1
"13335",13335,33,0.973509933774834,0.790322580645161,0.87240356083086,151,0.007,0.007,2,1
"13336",13336,34,0.934640522875817,0.768817204301075,0.843657817109145,153,0.007,0.007,2,1
"13337",13337,35,0.919540229885057,0.860215053763441,0.888888888888889,174,0.007,0.007,2,1
"13338",13338,36,0.96551724137931,0.903225806451613,0.933333333333333,174,0.007,0.007,2,1
"13339",13339,37,0.896969696969697,0.795698924731183,0.843304843304843,165,0.007,0.007,2,1
"13340",13340,38,0.712264150943396,0.811827956989247,0.758793969849246,212,0.007,0.007,2,1
"13341",13341,39,0.972972972972973,0.774193548387097,0.862275449101796,148,0.007,0.007,2,1
"13342",13342,40,0.981481481481482,0.85483870967742,0.913793103448276,162,0.007,0.007,2,1
"13343",13343,41,0.914634146341463,0.806451612903226,0.857142857142857,164,0.007,0.007,2,1
"13344",13344,42,0.962264150943396,0.82258064516129,0.88695652173913,159,0.007,0.007,2,1
"13345",13345,43,0.968944099378882,0.838709677419355,0.899135446685879,161,0.007,0.007,2,1
"13346",13346,44,0.947712418300654,0.779569892473118,0.855457227138643,153,0.007,0.007,2,1
"13347",13347,45,0.919354838709677,0.919354838709677,0.919354838709677,186,0.007,0.007,2,1
"13348",13348,46,0.933333333333333,0.827956989247312,0.877492877492878,165,0.007,0.007,2,1
"13349",13349,47,0.929936305732484,0.78494623655914,0.85131195335277,157,0.007,0.007,2,1
"13350",13350,48,0.899408284023669,0.817204301075269,0.856338028169014,169,0.007,0.007,2,1
"13351",13351,49,0.993055555555556,0.768817204301075,0.866666666666667,144,0.007,0.007,2,1
"13352",13352,50,0.89102564102564,0.747311827956989,0.812865497076023,156,0.007,0.007,2,1
"13353",13353,51,0.734597156398104,0.833333333333333,0.780856423173804,211,0.007,0.007,2,1
"13354",13354,52,0.920529801324503,0.747311827956989,0.824925816023739,151,0.007,0.007,2,1
"13355",13355,53,0.962732919254658,0.833333333333333,0.893371757925072,161,0.007,0.007,2,1
"13356",13356,54,0.968553459119497,0.827956989247312,0.892753623188406,159,0.007,0.007,2,1
"13357",13357,55,0.976331360946746,0.887096774193548,0.929577464788732,169,0.007,0.007,2,1
"13358",13358,56,0.894117647058824,0.817204301075269,0.853932584269663,170,0.007,0.007,2,1
"13359",13359,57,0.953020134228188,0.763440860215054,0.84776119402985,149,0.007,0.007,2,1
"13360",13360,58,0.944099378881988,0.817204301075269,0.876080691642651,161,0.007,0.007,2,1
"13361",13361,59,0.964912280701754,0.887096774193548,0.92436974789916,171,0.007,0.007,2,1
"13362",13362,60,0.933333333333333,0.903225806451613,0.918032786885246,180,0.007,0.007,2,1
"13363",13363,61,0.746543778801843,0.870967741935484,0.803970223325062,217,0.007,0.007,2,1
"13364",13364,62,0.986754966887417,0.801075268817204,0.88427299703264,151,0.007,0.007,2,1
"13365",13365,63,0.960264900662252,0.779569892473118,0.86053412462908,151,0.007,0.007,2,1
"13366",13366,64,0.94642857142857,0.85483870967742,0.898305084745763,168,0.007,0.007,2,1
"13367",13367,65,0.972789115646258,0.768817204301075,0.85885885885886,147,0.007,0.007,2,1
"13368",13368,66,0.975155279503106,0.844086021505376,0.904899135446686,161,0.007,0.007,2,1
"13369",13369,67,0.93939393939394,0.833333333333333,0.883190883190883,165,0.007,0.007,2,1
"13370",13370,68,0.758823529411765,0.693548387096774,0.724719101123595,170,0.007,0.007,2,1
"13371",13371,69,0.959183673469388,0.758064516129032,0.846846846846847,147,0.007,0.007,2,1
"13372",13372,70,0.97986577181208,0.78494623655914,0.871641791044776,149,0.007,0.007,2,1
"13373",13373,71,0.98780487804878,0.870967741935484,0.925714285714286,164,0.007,0.007,2,1
"13374",13374,72,0.976744186046512,0.903225806451613,0.93854748603352,172,0.007,0.007,2,1
"13375",13375,73,0.971264367816092,0.908602150537634,0.938888888888889,174,0.007,0.007,2,1
"13376",13376,74,0.98051948051948,0.811827956989247,0.888235294117647,154,0.007,0.007,2,1
"13377",13377,75,0.879518072289157,0.78494623655914,0.829545454545454,166,0.007,0.007,2,1
"13378",13378,76,0.729957805907173,0.93010752688172,0.817966903073286,237,0.007,0.007,2,1
"13379",13379,77,0.934640522875817,0.768817204301075,0.843657817109145,153,0.007,0.007,2,1
"13380",13380,78,0.936305732484076,0.790322580645161,0.857142857142857,157,0.007,0.007,2,1
"13381",13381,79,0.9320987654321,0.811827956989247,0.867816091954023,162,0.007,0.007,2,1
"13382",13382,80,0.942528735632184,0.881720430107527,0.911111111111111,174,0.007,0.007,2,1
"13383",13383,81,0.950617283950617,0.827956989247312,0.885057471264368,162,0.007,0.007,2,1
"13384",13384,82,0.918238993710692,0.78494623655914,0.846376811594203,159,0.007,0.007,2,1
"13385",13385,83,0.967948717948718,0.811827956989247,0.883040935672515,156,0.007,0.007,2,1
"13386",13386,84,0.92948717948718,0.779569892473118,0.847953216374269,156,0.007,0.007,2,1
"13387",13387,85,0.972222222222222,0.752688172043011,0.848484848484849,144,0.007,0.007,2,1
"13388",13388,86,0.780898876404494,0.747311827956989,0.763736263736264,178,0.007,0.007,2,1
"13389",13389,87,0.903614457831325,0.806451612903226,0.852272727272727,166,0.007,0.007,2,1
"13390",13390,88,0.871794871794872,0.913978494623656,0.89238845144357,195,0.007,0.007,2,1
"13391",13391,89,0.961290322580645,0.801075268817204,0.873900293255132,155,0.007,0.007,2,1
"13392",13392,90,0.938775510204082,0.741935483870968,0.82882882882883,147,0.007,0.007,2,1
"13393",13393,91,0.973509933774834,0.790322580645161,0.87240356083086,151,0.007,0.007,2,1
"13394",13394,92,0.967532467532468,0.801075268817204,0.876470588235294,154,0.007,0.007,2,1
"13395",13395,93,0.979166666666667,0.758064516129032,0.854545454545454,144,0.007,0.007,2,1
"13396",13396,94,0.96,0.774193548387097,0.857142857142857,150,0.007,0.007,2,1
"13397",13397,95,0.7,0.827956989247312,0.758620689655172,220,0.007,0.007,2,1
"13398",13398,96,0.96969696969697,0.860215053763441,0.911680911680912,165,0.007,0.007,2,1
"13399",13399,97,0.742222222222222,0.897849462365591,0.81265206812652,225,0.007,0.007,2,1
"13400",13400,98,0.954802259887006,0.908602150537634,0.931129476584022,177,0.007,0.007,2,1
"13401",13401,99,0.94701986754967,0.768817204301075,0.8486646884273,151,0.007,0.007,2,1
"13402",13402,100,0.970588235294118,0.887096774193548,0.926966292134831,170,0.007,0.007,2,1
"13403",13403,101,0.97945205479452,0.768817204301075,0.86144578313253,146,0.007,0.007,2,1
"13404",13404,102,0.981012658227848,0.833333333333333,0.901162790697674,158,0.007,0.007,2,1
"13405",13405,103,0.977011494252874,0.913978494623656,0.944444444444445,174,0.007,0.007,2,1
"13406",13406,104,0.923913043478261,0.913978494623656,0.918918918918919,184,0.007,0.007,2,1
"13407",13407,105,0.94475138121547,0.919354838709677,0.931880108991826,181,0.007,0.007,2,1
"13408",13408,106,0.966666666666667,0.779569892473118,0.863095238095238,150,0.007,0.007,2,1
"13409",13409,107,0.952941176470588,0.870967741935484,0.910112359550562,170,0.007,0.007,2,1
"13410",13410,108,0.957831325301205,0.85483870967742,0.903409090909091,166,0.007,0.007,2,1
"13411",13411,109,0.94701986754967,0.768817204301075,0.8486646884273,151,0.007,0.007,2,1
"13412",13412,110,0.962264150943396,0.82258064516129,0.88695652173913,159,0.007,0.007,2,1
"13413",13413,111,0.981132075471698,0.838709677419355,0.904347826086957,159,0.007,0.007,2,1
"13414",13414,112,0.975460122699387,0.85483870967742,0.911174785100287,163,0.007,0.007,2,1
"13415",13415,113,0.718446601941748,0.795698924731183,0.755102040816327,206,0.007,0.007,2,1
"13416",13416,114,0.78235294117647,0.71505376344086,0.747191011235955,170,0.007,0.007,2,1
"13417",13417,115,0.928104575163399,0.763440860215054,0.837758112094395,153,0.007,0.007,2,1
"13418",13418,116,0.944444444444444,0.913978494623656,0.92896174863388,180,0.007,0.007,2,1
"13419",13419,117,0.9625,0.827956989247312,0.890173410404624,160,0.007,0.007,2,1
"13420",13420,118,0.94767441860465,0.876344086021505,0.910614525139665,172,0.007,0.007,2,1
"13421",13421,119,0.993464052287582,0.817204301075269,0.896755162241888,153,0.007,0.007,2,1
"13422",13422,120,0.986666666666667,0.795698924731183,0.880952380952381,150,0.007,0.007,2,1
"13423",13423,121,0.973856209150327,0.801075268817204,0.87905604719764,153,0.007,0.007,2,1
